BBL,ENERGY STAR Score,Calendar Year,Emisiones DOB,ranking
4033400013,68.0,2022,385.1,20365
2033970029,100.0,2022,61.6,749
3073520015,60.0,2022,389.9,22697
3067950075,79.0,2022,293.0,13149
3060180051,77.0,2022,285.6,13347
3067810040,48.0,2022,390.2,25324
2039240007,84.0,2022,381.6,15078
2028700020,77.0,2022,234.3,10756
1000797502,59.0,2022,449.0,24692
1013107501,,2022,656.9,
1008467502,,2022,80.9,
1013227502,71.0,2022,468.3,21965
1007797501,100.0,2022,65.3,823
3062870036,90.0,2022,229.1,7465
2028570090,,2022,69.2,
3053210001,63.0,2022,344.6,20291
3011790037,94.0,2022,197.0,5423
3067210001,96.0,2022,176.4,4376
1007320025,95.0,2022,808.9,19264
3023050018,44.0,2022,434.0,27334
3025780001,,2022,548.9,
3074330150,100.0,2022,91.0,1222
4049800005,,2022,5.1,
1016287503,,2022,,
1021760119,42.0,2022,482.3,28749
1021160058,92.0,2022,347.8,11535
5074520075,,2022,252.8,
3050837503,93.0,2022,198.1,5652
1019037503,25.0,2022,273.6,24063
1008637502,,2022,781.9,
1014210037,52.0,2022,504.6,27477
1000917501,,2022,120.9,
1014960013,100.0,2022,64.6,808
1011210043,,2022,28.7,
1008020052,,2022,179.4,
1007640051,82.0,2022,340.1,14285
2031480029,67.0,2022,231.2,13217
3088200001,98.0,2022,66.7,1660
4014210001,98.0,2022,940.9,19335
4031510103,77.0,2022,208.0,9438
4015470016,18.0,2022,611.9,33063
4098300035,70.0,2022,371.7,19281
4114510050,100.0,2022,144.9,2218
4162300044,98.0,2022,96.7,2136
2028310005,63.0,2022,196.6,12065
2029720062,52.0,2022,217.5,15847
2033180003,71.0,2022,170.2,8906
2028750039,86.0,2022,244.0,8938
2028090012,,2022,140.0,
2032930139,67.0,2022,221.4,12601
2032150020,,2022,156.6,
2046000019,88.0,2022,170.2,5476
2024810019,41.0,2022,235.2,19246
2032130090,62.0,2022,176.9,11139
2032130024,65.0,2022,158.5,9572
4050057502,99.0,2022,343.9,9602
4053280015,81.0,2022,151.7,6147
4006540029,62.0,2022,150.7,9828
4006540024,63.0,2022,152.0,9693
4013120043,69.0,2022,391.9,20306
3057920001,30.0,2022,274.5,23429
1005900034,9.0,2022,249.6,24587
3003550030,74.0,2022,151.1,7486
1010200049,97.0,2022,119.2,2683
1008880055,69.0,2022,174.4,9505
2032550071,100.0,2022,61.4,745
3067800050,31.0,2022,301.3,24680
2024630060,72.0,2022,163.5,8390
3020957501,65.0,2022,119.7,8017
2024560222,68.0,2022,219.8,12248
4005650023,35.0,2022,164.6,15450
2030710047,100.0,2022,107.1,1463
2031840019,,2022,346.1,
1002110018,42.0,2022,204.0,16899
2031730064,1.0,2022,1211.2,36181
1012710030,4.0,2022,257.0,25604
1019887502,84.0,2022,95.2,4064
3063700023,69.0,2022,353.6,18867
3056920001,45.0,2022,240.1,18791
1007720045,,2022,249.9,
3063150027,60.0,2022,245.6,15773
3087910224,37.0,2022,252.3,21094
2032140030,95.0,2022,250.3,7294
2032150001,96.0,2022,163.2,3956
2033180056,100.0,2022,74.9,981
2028000072,70.0,2022,245.0,13218
2028910064,100.0,2022,36.6,326
2037440039,56.0,2022,369.1,22966
2033570001,,2022,239.6,
3056290030,51.0,2022,191.4,14329
3076180042,72.0,2022,225.1,11551
2028410070,50.0,2022,258.0,18862
2031500003,100.0,2022,37.2,334
2028420038,33.0,2022,306.2,24666
2032160021,45.0,2022,339.0,24080
2028400018,38.0,2022,334.4,25110
2028610005,67.0,2022,248.6,14180
3061200023,78.0,2022,164.9,7251
3061110014,64.0,2022,174.2,10585
3061260036,74.0,2022,209.4,10192
3058710058,45.0,2022,202.3,16216
3066290043,35.0,2022,284.7,23243
3053800001,68.0,2022,230.8,12911
3063190001,75.0,2022,212.4,10132
3056780001,55.0,2022,180.0,12832
3054710001,74.0,2022,148.1,7374
3054650021,72.0,2022,205.3,10486
3054480058,88.0,2022,180.6,5880
3051220062,56.0,2022,235.5,16118
1008497506,,2022,271.8,
3067827502,,2022,109.1,
1008180058,,2022,147.0,
1002347501,,2022,202.9,
1005420011,76.0,2022,310.3,14817
1005310027,,2022,113.7,
1005957503,,2022,106.5,
1004980015,,2022,59.4,
2023090012,49.0,2022,522.2,28333
5002307501,20.0,2022,143.7,16206
1021120015,60.0,2022,408.7,23288
4050057501,95.0,2022,268.2,7934
3012660001,,2022,199.8,
1015520029,2.0,2022,232.0,24394
1011290064,85.0,2022,177.8,6368
1005947509,,2022,156.2,
3010030038,56.0,2022,244.8,16707
4006620041,,2022,429.6,
1001070028,63.0,2022,159.7,10043
4001340039,81.0,2022,132.9,5520
4014850051,82.0,2022,146.7,5794
4014940029,41.0,2022,211.9,17643
4013040021,100.0,2022,32.1,274
3021060024,21.0,2022,260.5,23902
4033240050,100.0,2022,51.9,575
3039660001,93.0,2022,231.8,6958
1011180036,74.0,2022,753.0,25506
